Регион;Рождаемость на 1000 человек населения
алтайский край;8.6
амурская область;9.9
архангельская область;8.4
астраханская область;10.9
белгородская область;8.0
брянская область;8.0
владимирская область;7.5
волгоградская область;7.9
вологодская область;9.3
воронежская область;8.2
еврейская автономная область;10.3
забайкальский край;11.8
ивановская область;7.6
иркутская область;11.3
кабардино-балкарская республика;12.1
калининградская область;9.1
калужская область;9.0
камчатский край;10.4
карачаево-черкесская республика;11.0
кемеровская область;8.5
кировская область;8.4
костромская область;8.5
краснодарский край;10.5
красноярский край;10.1
курганская область;9.0
курская область;8.3
ленинградская область;7.1
липецкая область;8.3
магаданская область;9.4
москва;9.9
московская область;10.3
мурманская область;8.8
ненецкий автономный округ;13.5
нижегородская область;8.7
новгородская область;8.2
новосибирская область;10.3
омская область;9.3
оренбургская область;9.6
орловская область;7.9
пензенская область;7.4
пермский край;9.8
приморский край;9.5
псковская область;8.0
республика адыгея;9.5
республика алтай;13.3
республика башкортостан;10.2
республика бурятия;12.9
республика дагестан;15.1
республика ингушетия;16.3
республика калмыкия;10.2
республика карелия;8.5
республика коми;9.3
республика крым;9.9
республика марий эл;9.8
республика мордовия;7.0
республика саха (якутия);13.4
республика северная осетия - алания;11.8
республика татарстан;10.6
республика тыва;20.2
республика хакасия;10.1
ростовская область;8.7
рязанская область;7.9
самарская область;8.8
санкт-петербург;10.3
саратовская область;7.7
сахалинская область;11.5
свердловская область;10.2
севастополь;8.7
смоленская область;7.0
ставропольский край;9.8
тамбовская область;7.4
тверская область;8.0
томская область;9.2
тульская область;7.4
тюменская область;12.3
удмуртская республика;9.7
ульяновская область;8.4
хабаровский край;10.6
ханты-мансийский автономный округ - югра;12.3
челябинская область;9.6
чеченская республика;20.0
чувашская республика;9.3
чукотский автономный округ;10.9
ямало-ненецкий автономный округ;12.9
ярославская область;8.5
