Регион;Рейтинговый балл приверженности населения ЗОЖ
республика дагестан;94.7
чеченская республика;91.4
республика адыгея;80.6
кабардино-балкарская республика;79.5
краснодарский край;78.9
тамбовская область;77.9
рязанская область;77.1
пензенская область;75.6
ульяновская область;74.7
республика ингушетия;74.6
волгоградская область;72.8
республика марий эл;72.4
республика калмыкия;72.4
орловская область;72.4
ставропольский край;71.9
ростовская область;71.6
республика башкортостан;71.2
саратовская область;70.9
тульская область;70.8
республика северная осетия - алания;69.1
смоленская область;68.9
карачаево-черкесская республика;68.3
чувашская республика;68.1
брянская область;66.8
владимирская область;66.7
санкт-петербург;66.7
нижегородская область;65.7
курская область;65.1
алтайский край;64.9
астраханская область;63.9
республика татарстан;63.6
республика мордовия;63.3
республика тыва;63.2
самарская область;63.2
липецкая область;62.5
оренбургская область;61.9
белгородская область;61.6
московская область;61.4
новосибирская область;61.3
новгородская область;61.0
тверская область;60.8
москва;60.4
калужская область;60.3
псковская область;59.4
свердловская область;59.2
омская область;59.1
костромская область;58.2
воронежская область;57.6
ивановская область;57.5
кировская область;57.5
ярославская область;57.2
тюменская область;57.1
хабаровский край;56.3
томская область;55.9
республика алтай;55.7
республика карелия;54.0
пермский край;53.7
вологодская область;53.4
республика крым;53.1
курганская область;52.9
ханты-мансийский автономный округ - югра;52.8
калининградская область;52.5
красноярский край;51.7
севастополь;51.4
республика саха (якутия);50.9
приморский край;50.5
ленинградская область;50.5
ямало-ненецкий автономный округ;50.5
архангельская область;49.5
кемеровская область;48.6
иркутская область;46.9
ненецкий автономный округ;46.3
республика бурятия;45.9
республика коми;45.3
сахалинская область;44.6
челябинская область;42.1
удмуртская республика;41.3
мурманская область;40.2
чукотский автономный округ;38.0
амурская область;34.2
республика хакасия;33.5
забайкальский край;33.1
магаданская область;31.5
камчатский край;30.0
еврейская автономная область;27.3
