Регион;Объем выбросов загрязняющих веществ, тыс. тонн
алтайский край;472.12
амурская область;171.53
архангельская область;162.05
астраханская область;145.7
белгородская область;212.44
брянская область;70.49
владимирская область;100.83
волгоградская область;266.0
вологодская область;413.99
воронежская область;287.02
еврейская автономная область;21.37
забайкальский край;168.3
ивановская область;55.63
иркутская область;722.95
кабардино-балкарская республика;24.06
калининградская область;51.66
калужская область;54.09
камчатский край;64.41
карачаево-черкесская республика;26.21
кемеровская область;1678.84
кировская область;179.01
костромская область;60.95
краснодарский край;470.31
красноярский край;2728.8
курганская область;67.7
курская область;82.88
ленинградская область;261.12
липецкая область;363.64
магаданская область;69.01
москва;389.58
московская область;419.25
мурманская область;221.74
ненецкий автономный округ;61.17
нижегородская область;227.55
новгородская область;86.34
новосибирская область;253.61
омская область;213.84
оренбургская область;495.83
орловская область;56.84
пензенская область;56.21
пермский край;382.65
приморский край;235.2
псковская область;64.59
республика адыгея;22.37
республика алтай;14.9
республика башкортостан;559.31
республика бурятия;134.53
республика дагестан;62.65
республика ингушетия;26.07
республика калмыкия;13.98
республика карелия;152.94
республика коми;404.73
республика крым;84.95
республика марий эл;70.02
республика мордовия;115.46
республика саха (якутия);297.93
республика северная осетия - алания;33.6
республика татарстан;461.43
республика тыва;10.85
республика хакасия;123.68
ростовская область;310.77
рязанская область;122.55
самарская область;335.18
санкт-петербург;199.1
саратовская область;273.91
сахалинская область;84.17
свердловская область;924.97
севастополь;15.22
смоленская область;86.09
ставропольский край;349.97
тамбовская область;143.59
тверская область;139.33
томская область;248.72
тульская область;190.52
тюменская область;217.03
удмуртская республика;168.84
ульяновская область;55.38
хабаровский край;175.89
ханты-мансийский автономный округ - югра;1215.09
челябинская область;564.23
чеченская республика;114.71
чувашская республика;40.14
чукотский автономный округ;18.29
ямало-ненецкий автономный округ;900.87
ярославская область;107.03
