Регион;Рождаемость на 1000 человек населения;Доля населения с высшим образованием, %;Рейтинговый балл финансового благополучия населения;Рейтинговый балл приверженности населения ЗОЖ;Объем выбросов загрязняющих веществ, тыс. тонн;Уровень безработицы населения в возрасте 15 лет и старше, %
алтайский край;8.6;17.06;24.57;64.9;472.12;6.0
амурская область;9.9;19.08;44.58;34.2;171.53;6.0
архангельская область;8.4;18.81;49.57;49.5;162.05;7.3
астраханская область;10.9;20.41;34.51;63.9;145.7;7.9
белгородская область;8.0;21.62;58.16;61.6;212.44;4.9
брянская область;8.0;19.51;38.03;66.8;70.49;4.0
владимирская область;7.5;19.48;43.38;66.7;100.83;5.6
волгоградская область;7.9;19.84;42.71;72.8;266.0;7.6
вологодская область;9.3;19.59;47.78;53.4;413.99;6.1
воронежская область;8.2;22.77;54.27;57.6;287.02;4.3
еврейская автономная область;10.3;16.25;25.18;27.3;21.37;6.2
забайкальский край;11.8;15.68;25.94;33.1;168.3;9.8
ивановская область;7.6;19.69;38.0;57.5;55.63;5.4
иркутская область;11.3;19.75;39.94;46.9;722.95;7.7
кабардино-балкарская республика;12.1;19.74;10.14;79.5;24.06;14.8
калининградская область;9.1;23.96;43.93;52.5;51.66;5.9
калужская область;9.0;22.18;55.7;60.3;54.09;4.7
камчатский край;10.4;25.26;62.46;30.0;64.41;3.7
карачаево-черкесская республика;11.0;24.07;6.34;68.3;26.21;14.8
кемеровская область;8.5;18.49;46.3;48.6;1678.84;6.7
кировская область;8.4;18.73;37.54;57.5;179.01;5.3
костромская область;8.5;19.32;40.69;58.2;60.95;5.5
краснодарский край;10.5;19.74;45.79;78.9;470.31;5.7
красноярский край;10.1;20.51;43.69;51.7;2728.8;6.0
курганская область;9.0;16.11;23.94;52.9;67.7;8.1
курская область;8.3;22.11;46.28;65.1;82.88;4.8
ленинградская область;7.1;22.44;54.55;50.5;261.12;5.3
липецкая область;8.3;21.49;55.72;62.5;363.64;4.3
магаданская область;9.4;25.79;91.83;31.5;69.01;5.7
москва;9.9;35.05;82.66;60.4;389.58;2.8
московская область;10.3;29.64;67.14;61.4;419.25;3.6
мурманская область;8.8;24.44;70.39;40.2;221.74;7.6
ненецкий автономный округ;13.5;21.14;81.75;46.3;61.17;8.9
нижегородская область;8.7;22.95;52.45;65.7;227.55;4.6
новгородская область;8.2;18.85;41.37;61.0;86.34;5.8
новосибирская область;10.3;24.1;45.71;61.3;253.61;6.7
омская область;9.3;19.8;40.79;59.1;213.84;8.9
оренбургская область;9.6;18.32;40.23;61.9;495.83;5.9
орловская область;7.9;23.35;41.26;72.4;56.84;6.1
пензенская область;7.4;20.27;38.53;75.6;56.21;4.9
пермский край;9.8;17.87;44.83;53.7;382.65;5.7
приморский край;9.5;20.4;46.79;50.5;235.2;5.3
псковская область;8.0;20.2;32.3;59.4;64.59;6.3
республика адыгея;9.5;20.95;34.96;80.6;22.37;8.4
республика алтай;13.3;20.14;9.43;55.7;14.9;13.9
республика башкортостан;10.2;18.18;41.2;71.2;559.31;5.9
республика бурятия;12.9;21.64;23.92;45.9;134.53;10.5
республика дагестан;15.1;13.33;22.32;94.7;62.65;15.8
республика ингушетия;16.3;12.53;1.85;74.6;26.07;31.1
республика калмыкия;10.2;24.61;13.7;72.4;13.98;9.5
республика карелия;8.5;21.23;46.45;54.0;152.94;8.7
республика коми;9.3;20.22;50.94;45.3;404.73;7.7
республика крым;9.9;21.9;19.44;53.1;84.95;6.3
республика марий эл;9.8;19.89;26.05;72.4;70.02;6.8
республика мордовия;7.0;23.34;28.27;63.3;115.46;5.4
республика саха (якутия);13.4;22.34;47.37;50.9;297.93;7.5
республика северная осетия - алания;11.8;24.75;26.57;69.1;33.6;15.4
республика татарстан;10.6;23.88;57.2;63.6;461.43;3.6
республика тыва;20.2;17.48;5.25;63.2;10.85;18.2
республика хакасия;10.1;18.35;30.41;33.5;123.68;8.6
ростовская область;8.7;21.44;40.71;71.6;310.77;5.0
рязанская область;7.9;21.09;44.23;77.1;122.55;5.3
самарская область;8.8;23.81;49.59;63.2;335.18;4.4
санкт-петербург;10.3;34.06;79.9;66.7;199.1;3.0
саратовская область;7.7;21.01;37.5;70.9;273.91;5.6
сахалинская область;11.5;22.91;77.09;44.6;84.17;5.5
свердловская область;10.2;20.6;57.86;59.2;924.97;5.8
севастополь;8.7;33.77;31.97;51.4;15.22;4.6
смоленская область;7.0;21.17;38.25;68.9;86.09;5.3
ставропольский край;9.8;20.2;32.8;71.9;349.97;6.2
тамбовская область;7.4;18.81;41.91;77.9;143.59;4.6
тверская область;8.0;18.57;43.52;60.8;139.33;4.4
томская область;9.2;23.9;47.9;55.9;248.72;8.7
тульская область;7.4;20.3;47.23;70.8;190.52;4.4
тюменская область;12.3;24.61;50.02;57.1;217.03;3.6
удмуртская республика;9.7;20.69;40.88;41.3;168.84;6.3
ульяновская область;8.4;19.29;33.43;74.7;55.38;4.9
хабаровский край;10.6;23.76;54.47;56.3;175.89;3.9
ханты-мансийский автономный округ - югра;12.3;25.95;83.76;52.8;1215.09;3.0
челябинская область;9.6;20.39;48.19;42.1;564.23;6.8
чеченская республика;20.0;13.1;10.82;91.4;114.71;18.5
чувашская республика;9.3;22.13;32.79;68.1;40.14;6.0
чукотский автономный округ;10.9;23.01;88.04;38.0;18.29;4.4
ямало-ненецкий автономный округ;12.9;29.39;96.96;50.5;900.87;2.4
ярославская область;8.5;22.4;51.64;57.2;107.03;7.3
